rank,pipname,tile,tile_type,tile_x,tile_y,src_wire,dst_wire,net,avg_delay_ps,max_delay_ps
152,INT_R_X3Y139/SL1BEG0->INT_R_X3Y138/IMUX33,INT_R_X3Y139,INT_R,3,139,INT_R_X3Y139/SL1BEG0,INT_R_X3Y138/IMUX33,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
153,CLBLM_R_X3Y138/CLBLM_L_C1->SITEWIRE/SLICE_X3Y138/C4,CLBLM_R_X3Y138,CLBLM_R,3,138,CLBLM_R_X3Y138/CLBLM_L_C1,SITEWIRE/SLICE_X3Y138/C4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],0,0
154,INT_L_X6Y146/LH12->INT_L_X4Y149/SW6END3,INT_L_X6Y146,INT_L,6,146,INT_L_X6Y146/LH12,INT_L_X4Y149/SW6END3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
155,INT_L_X4Y148/IMUX_L15->CLBLL_L_X4Y148/CLBLL_LL_B1,INT_L_X4Y148,INT_L,4,148,INT_L_X4Y148/IMUX_L15,CLBLL_L_X4Y148/CLBLL_LL_B1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
156,CLBLL_L_X4Y148/CLBLL_LL_B1->SITEWIRE/SLICE_X4Y148/B1,CLBLL_L_X4Y148,CLBLL_L,4,148,CLBLL_L_X4Y148/CLBLL_LL_B1,SITEWIRE/SLICE_X4Y148/B1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],0,0
157,INT_L_X16Y117/SS2A0->INT_L_X16Y116/ER1BEG1,INT_L_X16Y117,INT_L,16,117,INT_L_X16Y117/SS2A0,INT_L_X16Y116/ER1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
158,INT_L_X6Y118/EE2BEG0->INT_L_X8Y118/ER1BEG1,INT_L_X6Y118,INT_L,6,118,INT_L_X6Y118/EE2BEG0,INT_L_X8Y118/ER1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
159,INT_R_X17Y116/BYP4->CLBLL_R_X17Y116/CLBLL_LL_BX,INT_R_X17Y116,INT_R,17,116,INT_R_X17Y116/BYP4,CLBLL_R_X17Y116/CLBLL_LL_BX,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
160,INT_L_X16Y116/ER1BEG1->INT_R_X17Y116/BYP_ALT4,INT_L_X16Y116,INT_L,16,116,INT_L_X16Y116/ER1BEG1,INT_R_X17Y116/BYP_ALT4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
161,CLBLL_R_X17Y116/CLBLL_LL_BX->SITEWIRE/SLICE_X26Y116/BX,CLBLL_R_X17Y116,CLBLL_R,17,116,CLBLL_R_X17Y116/CLBLL_LL_BX,SITEWIRE/SLICE_X26Y116/BX,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],0,0
162,INT_L_X8Y118/SE6BEG0->INT_L_X10Y114/SW6BEG0,INT_L_X8Y118,INT_L,8,118,INT_L_X8Y118/SE6BEG0,INT_L_X10Y114/SW6BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
163,INT_L_X34Y108/NR1BEG0->INT_L_X34Y91/LV_L0,INT_L_X34Y108,INT_L,34,108,INT_L_X34Y108/NR1BEG0,INT_L_X34Y91/LV_L0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
164,INT_L_X10Y114/SW6BEG0->INT_L_X8Y110/SE6BEG0,INT_L_X10Y114,INT_L,10,114,INT_L_X10Y114/SW6BEG0,INT_L_X8Y110/SE6BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
165,INT_L_X20Y117/SE2A0->INT_R_X21Y117/EE4BEG0,INT_L_X20Y117,INT_L,20,117,INT_L_X20Y117/SE2A0,INT_R_X21Y117/EE4BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
166,CLBLL_L_X4Y122/CLBLL_L_AQ->INT_L_X4Y122/LOGIC_OUTS_L0,CLBLL_L_X4Y122,CLBLL_L,4,122,CLBLL_L_X4Y122/CLBLL_L_AQ,INT_L_X4Y122/LOGIC_OUTS_L0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],0,0
167,INT_L_X18Y138/LV_L10->INT_L_X18Y138/NN6A1,INT_L_X18Y138,INT_L,18,138,INT_L_X18Y138/LV_L10,INT_L_X18Y138/NN6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
168,DSP_R_X9Y115/DSP_0_B9->SITEWIRE/DSP48_X0Y46/B9,DSP_R_X9Y115,DSP_R,9,115,DSP_R_X9Y115/DSP_0_B9,SITEWIRE/DSP48_X0Y46/B9,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],0,0
169,INT_L_X4Y149/SL1BEG3->INT_L_X4Y148/IMUX_L15,INT_L_X4Y149,INT_L,4,149,INT_L_X4Y149/SL1BEG3,INT_L_X4Y148/IMUX_L15,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
170,INT_R_X9Y117/IMUX18->DSP_R_X9Y115/DSP_0_B9,INT_R_X9Y117,INT_R,9,117,INT_R_X9Y117/IMUX18,DSP_R_X9Y115/DSP_0_B9,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
171,INT_L_X12Y118/EE4BEG0->INT_L_X16Y117/SS2A0,INT_L_X12Y118,INT_L,12,118,INT_L_X12Y118/EE4BEG0,INT_L_X16Y117/SS2A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
172,INT_R_X33Y116/SE2A0->INT_L_X34Y115/SS6A0,INT_R_X33Y116,INT_R,33,116,INT_R_X33Y116/SE2A0,INT_L_X34Y115/SS6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
173,INT_R_X9Y118/SL1BEG1->INT_R_X9Y117/IMUX18,INT_R_X9Y118,INT_R,9,118,INT_R_X9Y118/SL1BEG1,INT_R_X9Y117/IMUX18,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
174,INT_L_X8Y118/EE4BEG0->INT_L_X12Y118/EE4BEG0,INT_L_X8Y118,INT_L,8,118,INT_L_X8Y118/EE4BEG0,INT_L_X12Y118/EE4BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
175,INT_R_X3Y138/IMUX33->CLBLM_R_X3Y138/CLBLM_L_C1,INT_R_X3Y138,INT_R,3,138,INT_R_X3Y138/IMUX33,CLBLM_R_X3Y138/CLBLM_L_C1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
176,INT_L_X16Y118/NE6BEG0->INT_L_X18Y123/NN6A0,INT_L_X16Y118,INT_L,16,118,INT_L_X16Y118/NE6BEG0,INT_L_X18Y123/NN6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
177,INT_L_X4Y122/SE6BEG0->INT_L_X6Y118/EE2BEG0,INT_L_X4Y122,INT_L,4,122,INT_L_X4Y122/SE6BEG0,INT_L_X6Y118/EE2BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
178,INT_L_X18Y138/NN6A1->INT_L_X18Y144/NN2A1,INT_L_X18Y138,INT_L,18,138,INT_L_X18Y138/NN6A1,INT_L_X18Y144/NN2A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
179,INT_L_X4Y122/LOGIC_OUTS_L0->INT_L_X4Y122/SE6BEG0,INT_L_X4Y122,INT_L,4,122,INT_L_X4Y122/LOGIC_OUTS_L0,INT_L_X4Y122/SE6BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
180,INT_R_X17Y116/BYP_ALT4->INT_R_X17Y116/BYP4,INT_R_X17Y116,INT_R,17,116,INT_R_X17Y116/BYP_ALT4,INT_R_X17Y116/BYP4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
181,INT_L_X10Y98/SR1BEG1->INT_L_X10Y97/WL1BEG0,INT_L_X10Y98,INT_L,10,98,INT_L_X10Y98/SR1BEG1,INT_L_X10Y97/WL1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
182,INT_L_X4Y139/SW2A0->INT_R_X3Y139/SL1BEG0,INT_L_X4Y139,INT_L,4,139,INT_L_X4Y139/SW2A0,INT_R_X3Y139/SL1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
183,INT_L_X18Y123/NN6A0->INT_L_X18Y138/LV_L10,INT_L_X18Y123,INT_L,18,123,INT_L_X18Y123/NN6A0,INT_L_X18Y138/LV_L10,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
184,CLBLL_R_X19Y145/CLBLL_LL_A5->SITEWIRE/SLICE_X28Y145/A5,CLBLL_R_X19Y145,CLBLL_R,19,145,CLBLL_R_X19Y145/CLBLL_LL_A5,SITEWIRE/SLICE_X28Y145/A5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],0,0
185,INT_L_X10Y97/WL1BEG0->INT_R_X9Y97/IMUX18,INT_L_X10Y97,INT_L,10,97,INT_L_X10Y97/WL1BEG0,INT_R_X9Y97/IMUX18,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
186,INT_L_X8Y110/SE6BEG0->INT_L_X10Y105/SS6A0,INT_L_X8Y110,INT_L,8,110,INT_L_X8Y110/SE6BEG0,INT_L_X10Y105/SS6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
187,INT_L_X8Y118/ER1BEG1->INT_R_X9Y118/SL1BEG1,INT_L_X8Y118,INT_L,8,118,INT_L_X8Y118/ER1BEG1,INT_R_X9Y118/SL1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
188,INT_R_X9Y97/IMUX18->DSP_R_X9Y95/DSP_0_B9,INT_R_X9Y97,INT_R,9,97,INT_R_X9Y97/IMUX18,DSP_R_X9Y95/DSP_0_B9,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
189,INT_L_X18Y138/LV_L10->INT_L_X6Y146/LH12,INT_L_X18Y138,INT_L,18,138,INT_L_X18Y138/LV_L10,INT_L_X6Y146/LH12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
190,INT_L_X10Y100/SS2BEG0->INT_L_X10Y98/SR1BEG1,INT_L_X10Y100,INT_L,10,100,INT_L_X10Y100/SS2BEG0,INT_L_X10Y98/SR1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
191,INT_L_X18Y144/NN2A1->INT_L_X18Y145/EL1BEG0,INT_L_X18Y144,INT_L,18,144,INT_L_X18Y144/NN2A1,INT_L_X18Y145/EL1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
192,INT_L_X34Y79/NE6BEG2->INT_L_X36Y83/SL1BEG2,INT_L_X34Y79,INT_L,34,79,INT_L_X34Y79/NE6BEG2,INT_L_X36Y83/SL1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
193,INT_L_X18Y145/EL1BEG0->INT_R_X19Y145/IMUX8,INT_L_X18Y145,INT_L,18,145,INT_L_X18Y145/EL1BEG0,INT_R_X19Y145/IMUX8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
194,INT_L_X4Y149/SW6END3->INT_L_X4Y149/SL1BEG3,INT_L_X4Y149,INT_L,4,149,INT_L_X4Y149/SW6END3,INT_L_X4Y149/SL1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
195,INT_L_X34Y116/NR1BEG3->INT_L_X34Y117/IMUX_L14,INT_L_X34Y116,INT_L,34,116,INT_L_X34Y116/NR1BEG3,INT_L_X34Y117/IMUX_L14,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
196,INT_L_X10Y105/SS6A0->INT_L_X10Y100/SS2BEG0,INT_L_X10Y105,INT_L,10,105,INT_L_X10Y105/SS6A0,INT_L_X10Y100/SS2BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
197,DSP_L_X34Y80/DSP_1_B8->SITEWIRE/DSP48_X1Y33/B8,DSP_L_X34Y80,DSP_L,34,80,DSP_L_X34Y80/DSP_1_B8,SITEWIRE/DSP48_X1Y33/B8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],0,0
198,INT_L_X16Y118/EE4BEG0->INT_L_X20Y117/SE2A0,INT_L_X16Y118,INT_L,16,118,INT_L_X16Y118/EE4BEG0,INT_L_X20Y117/SE2A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
199,INT_L_X34Y82/IMUX_L14->DSP_L_X34Y80/DSP_1_B8,INT_L_X34Y82,INT_L,34,82,INT_L_X34Y82/IMUX_L14,DSP_L_X34Y80/DSP_1_B8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
200,INT_L_X6Y118/EE2BEG0->INT_L_X8Y118/SE6BEG0,INT_L_X6Y118,INT_L,6,118,INT_L_X6Y118/EE2BEG0,INT_L_X8Y118/SE6BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
201,INT_L_X12Y118/EE4BEG0->INT_L_X16Y118/NE6BEG0,INT_L_X12Y118,INT_L,12,118,INT_L_X12Y118/EE4BEG0,INT_L_X16Y118/NE6BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
202,INT_L_X36Y83/SL1BEG2->INT_L_X34Y82/WW2END2,INT_L_X36Y83,INT_L,36,83,INT_L_X36Y83/SL1BEG2,INT_L_X34Y82/WW2END2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
203,DSP_L_X34Y115/DSP_1_B8->SITEWIRE/DSP48_X1Y47/B8,DSP_L_X34Y115,DSP_L,34,115,DSP_L_X34Y115/DSP_1_B8,SITEWIRE/DSP48_X1Y47/B8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],0,0
204,INT_L_X34Y117/IMUX_L14->DSP_L_X34Y115/DSP_1_B8,INT_L_X34Y117,INT_L,34,117,INT_L_X34Y117/IMUX_L14,DSP_L_X34Y115/DSP_1_B8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
205,INT_R_X33Y116/EL1BEG3->INT_L_X34Y116/NR1BEG3,INT_R_X33Y116,INT_R,33,116,INT_R_X33Y116/EL1BEG3,INT_L_X34Y116/NR1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
206,INT_L_X18Y138/LV_L10->INT_L_X6Y137/LH12,INT_L_X18Y138,INT_L,18,138,INT_L_X18Y138/LV_L10,INT_L_X6Y137/LH12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
207,DSP_R_X9Y95/DSP_0_B9->SITEWIRE/DSP48_X0Y38/B9,DSP_R_X9Y95,DSP_R,9,95,DSP_R_X9Y95/DSP_0_B9,SITEWIRE/DSP48_X0Y38/B9,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],0,0
208,INT_R_X31Y117/EE2BEG0->INT_R_X33Y116/EL1BEG3,INT_R_X31Y117,INT_R,31,117,INT_R_X31Y117/EE2BEG0,INT_R_X33Y116/EL1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
209,INT_R_X25Y117/EE4BEG0->INT_R_X31Y117/EE2BEG0,INT_R_X25Y117,INT_R,25,117,INT_R_X25Y117/EE4BEG0,INT_R_X31Y117/EE2BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
210,INT_L_X12Y118/EE4BEG0->INT_L_X16Y118/EE4BEG0,INT_L_X12Y118,INT_L,12,118,INT_L_X12Y118/EE4BEG0,INT_L_X16Y118/EE4BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
211,INT_R_X21Y117/EE4BEG0->INT_R_X25Y117/EE4BEG0,INT_R_X21Y117,INT_R,21,117,INT_R_X21Y117/EE4BEG0,INT_R_X25Y117/EE4BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
212,INT_L_X6Y118/EE2BEG0->INT_L_X8Y118/EE4BEG0,INT_L_X6Y118,INT_L,6,118,INT_L_X6Y118/EE2BEG0,INT_L_X8Y118/EE4BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
213,INT_R_X31Y117/EE2BEG0->INT_R_X33Y116/SE2A0,INT_R_X31Y117,INT_R,31,117,INT_R_X31Y117/EE2BEG0,INT_R_X33Y116/SE2A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
214,INT_L_X34Y82/WW2END2->INT_L_X34Y82/IMUX_L14,INT_L_X34Y82,INT_L,34,82,INT_L_X34Y82/WW2END2,INT_L_X34Y82/IMUX_L14,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
215,INT_R_X19Y145/IMUX8->CLBLL_R_X19Y145/CLBLL_LL_A5,INT_R_X19Y145,INT_R,19,145,INT_R_X19Y145/IMUX8,CLBLL_R_X19Y145/CLBLL_LL_A5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
216,INT_L_X34Y89/LVB_L10->INT_L_X34Y79/NE6BEG2,INT_L_X34Y89,INT_L,34,89,INT_L_X34Y89/LVB_L10,INT_L_X34Y79/NE6BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
217,INT_L_X34Y91/LV_L0->INT_L_X34Y89/LVB_L10,INT_L_X34Y91,INT_L,34,91,INT_L_X34Y91/LV_L0,INT_L_X34Y89/LVB_L10,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
218,INT_L_X34Y109/SS2A0->INT_L_X34Y108/NR1BEG0,INT_L_X34Y109,INT_L,34,109,INT_L_X34Y109/SS2A0,INT_L_X34Y108/NR1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
219,INT_L_X34Y115/SS6A0->INT_L_X34Y109/SS2A0,INT_L_X34Y115,INT_L,34,115,INT_L_X34Y115/SS6A0,INT_L_X34Y109/SS2A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[25],132.42498665242925,301
220,INT_L_X4Y137/ER1END3->INT_L_X4Y138/ER1BEG0,INT_L_X4Y137,INT_L,4,137,INT_L_X4Y137/ER1END3,INT_L_X4Y138/ER1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
221,CLBLM_R_X5Y137/CLBLM_L_A5->SITEWIRE/SLICE_X7Y137/A4,CLBLM_R_X5Y137,CLBLM_R,5,137,CLBLM_R_X5Y137/CLBLM_L_A5,SITEWIRE/SLICE_X7Y137/A4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],0,0
222,INT_R_X5Y139/LVB10->INT_L_X4Y141/SW6A2,INT_R_X5Y139,INT_R,5,139,INT_R_X5Y139/LVB10,INT_L_X4Y141/SW6A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
223,INT_L_X4Y141/SW6A2->INT_L_X4Y137/ER1END3,INT_L_X4Y141,INT_L,4,141,INT_L_X4Y141/SW6A2,INT_L_X4Y137/ER1END3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
224,INT_L_X4Y139/NN2A3->INT_L_X4Y140/IMUX_L6,INT_L_X4Y139,INT_L,4,139,INT_L_X4Y139/NN2A3,INT_L_X4Y140/IMUX_L6,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
225,INT_R_X5Y123/LOGIC_OUTS21->INT_R_X5Y125/NN6B3,INT_R_X5Y123,INT_R,5,123,INT_R_X5Y123/LOGIC_OUTS21,INT_R_X5Y125/NN6B3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
226,INT_R_X5Y125/NN6B3->INT_R_X5Y139/LVB10,INT_R_X5Y125,INT_R,5,125,INT_R_X5Y125/NN6B3,INT_R_X5Y139/LVB10,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
227,INT_L_X34Y85/SS6A2->INT_L_X34Y80/EE2BEG2,INT_L_X34Y85,INT_L,34,85,INT_L_X34Y85/SS6A2,INT_L_X34Y80/EE2BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
228,INT_R_X9Y91/SS6A2->INT_R_X9Y86/SR1BEG3,INT_R_X9Y91,INT_R,9,91,INT_R_X9Y91/SS6A2,INT_R_X9Y86/SR1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
229,INT_L_X10Y115/EE4A3->INT_L_X14Y115/LH11,INT_L_X10Y115,INT_L,10,115,INT_L_X10Y115/EE4A3,INT_L_X14Y115/LH11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
230,INT_R_X9Y86/SR1BEG3->INT_R_X9Y85/SR1BEG_S0,INT_R_X9Y86,INT_R,9,86,INT_R_X9Y86/SR1BEG3,INT_R_X9Y85/SR1BEG_S0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
231,CLBLL_L_X4Y140/CLBLL_L_A1->SITEWIRE/SLICE_X5Y140/A3,CLBLL_L_X4Y140,CLBLL_L,4,140,CLBLL_L_X4Y140/CLBLL_L_A1,SITEWIRE/SLICE_X5Y140/A3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],0,0
232,INT_L_X8Y84/WW2A1->INT_R_X7Y84/BYP_ALT5,INT_L_X8Y84,INT_L,8,84,INT_L_X8Y84/WW2A1,INT_R_X7Y84/BYP_ALT5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
233,INT_R_X7Y84/BYP5->CLBLM_R_X7Y84/CLBLM_L_BX,INT_R_X7Y84,INT_R,7,84,INT_R_X7Y84/BYP5,CLBLM_R_X7Y84/CLBLM_L_BX,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
234,INT_R_X7Y84/BYP_ALT5->INT_R_X7Y84/BYP5,INT_R_X7Y84,INT_R,7,84,INT_R_X7Y84/BYP_ALT5,INT_R_X7Y84/BYP5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
235,INT_L_X8Y118/SE2END3->INT_L_X8Y116/LVB_L10,INT_L_X8Y118,INT_L,8,118,INT_L_X8Y118/SE2END3,INT_L_X8Y116/LVB_L10,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
236,INT_R_X5Y139/LVB10->INT_L_X4Y141/NW6A2,INT_R_X5Y139,INT_R,5,139,INT_R_X5Y139/LVB10,INT_L_X4Y141/NW6A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
237,INT_L_X8Y105/SS6A2->INT_L_X8Y100/SE2BEG2,INT_L_X8Y105,INT_L,8,105,INT_L_X8Y105/SS6A2,INT_L_X8Y100/SE2BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
238,INT_R_X5Y123/LOGIC_OUTS21->INT_R_X5Y123/SE6BEG3,INT_R_X5Y123,INT_R,5,123,INT_R_X5Y123/LOGIC_OUTS21,INT_R_X5Y123/SE6BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
239,INT_R_X9Y85/SR1BEG1->INT_L_X8Y84/WW2A1,INT_R_X9Y85,INT_R,9,85,INT_R_X9Y85/SR1BEG1,INT_L_X8Y84/WW2A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
240,INT_R_X9Y117/IMUX22->DSP_R_X9Y115/DSP_0_B8,INT_R_X9Y117,INT_R,9,117,INT_R_X9Y117/IMUX22,DSP_R_X9Y115/DSP_0_B8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
241,INT_L_X8Y98/SL1BEG2->INT_L_X8Y96/SW2A2,INT_L_X8Y98,INT_L,8,98,INT_L_X8Y98/SL1BEG2,INT_L_X8Y96/SW2A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
242,INT_L_X8Y100/SE2BEG2->INT_R_X9Y98/SS2A2,INT_L_X8Y100,INT_L,8,100,INT_L_X8Y100/SE2BEG2,INT_R_X9Y98/SS2A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
243,INT_R_X5Y138/SL1BEG0->INT_R_X5Y137/IMUX9,INT_R_X5Y138,INT_R,5,138,INT_R_X5Y138/SL1BEG0,INT_R_X5Y137/IMUX9,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
244,DSP_L_X34Y115/DSP_1_B7->SITEWIRE/DSP48_X1Y47/B7,DSP_L_X34Y115,DSP_L,34,115,DSP_L_X34Y115/DSP_1_B7,SITEWIRE/DSP48_X1Y47/B7,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],0,0
245,INT_L_X8Y118/SE2END3->INT_L_X8Y117/SE2A3,INT_L_X8Y118,INT_L,8,118,INT_L_X8Y118/SE2END3,INT_L_X8Y117/SE2A3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
246,INT_L_X34Y80/EE2BEG2->INT_L_X36Y80/WR1BEG3,INT_L_X34Y80,INT_L,34,80,INT_L_X34Y80/EE2BEG2,INT_L_X36Y80/WR1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
247,INT_L_X8Y116/LVB_L10->INT_L_X8Y105/SS6A2,INT_L_X8Y116,INT_L,8,116,INT_L_X8Y116/LVB_L10,INT_L_X8Y105/SS6A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
248,DSP_R_X9Y115/DSP_0_B8->SITEWIRE/DSP48_X0Y46/B8,DSP_R_X9Y115,DSP_R,9,115,DSP_R_X9Y115/DSP_0_B8,SITEWIRE/DSP48_X0Y46/B8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],0,0
249,CLBLM_R_X7Y83/CLBLM_L_A4->SITEWIRE/SLICE_X9Y83/A5,CLBLM_R_X7Y83,CLBLM_R,7,83,CLBLM_R_X7Y83/CLBLM_L_A4,SITEWIRE/SLICE_X9Y83/A5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],0,0
250,INT_R_X3Y147/NL1BEG1->INT_L_X4Y148/EL1END0,INT_R_X3Y147,INT_R,3,147,INT_R_X3Y147/NL1BEG1,INT_L_X4Y148/EL1END0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
251,INT_L_X4Y138/ER1BEG0->INT_R_X5Y138/SL1BEG0,INT_L_X4Y138,INT_L,4,138,INT_L_X4Y138/ER1BEG0,INT_R_X5Y138/SL1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
